orderitem_id,order_id,product_id,quantity,supplier_id,subtotal,discount
102,22,304,2,36,1740.34,0.00
103,22,314,4,32,2914.64,0.00
104,22,2,1,19,59.94,0.00
105,22,294,4,23,2359.32,0.00
106,22,105,5,35,963.20,0.00
107,23,492,10,2,9148.90,0.00
108,23,3,8,31,1732.72,0.00
109,23,96,10,6,1146.90,0.00
110,24,479,4,50,2251.64,0.19
111,24,107,5,9,2134.95,0.16
112,24,472,9,32,133.65,0.18
113,24,323,7,38,5332.11,0.16
114,24,222,3,43,2662.02,0.15
115,25,264,7,14,4605.51,0.00
116,25,288,8,41,7882.72,0.00
117,26,43,9,16,388.89,0.00
118,26,426,3,13,553.71,0.00
119,26,438,1,16,430.89,0.00
120,26,486,2,27,205.56,0.00
121,26,9,5,37,4587.80,0.00
122,26,141,4,22,1266.40,0.00
123,26,150,8,46,3787.76,0.00
124,26,327,3,17,1098.21,0.00
125,26,273,5,48,4802.90,0.00
126,26,289,6,34,1820.16,0.00
127,27,440,9,41,3849.39,0.00
128,27,147,5,16,1567.10,0.00
129,27,347,6,6,3379.86,0.00
130,27,352,8,19,7155.92,0.00
131,27,51,8,37,5977.44,0.00
132,27,98,3,13,1374.39,0.00
133,27,134,7,39,1714.58,0.00
134,27,86,3,44,184.38,0.00
135,27,430,6,27,2642.28,0.00
136,28,386,5,31,2085.15,0.00
137,28,435,6,7,5928.30,0.00
138,28,242,7,11,3865.19,0.00
139,29,260,8,11,7329.44,0.16
140,30,207,10,39,2534.70,0.13
141,30,361,10,13,9255.80,0.22
142,30,164,9,14,7642.80,0.08
143,30,420,8,40,1166.80,0.17
144,30,76,1,24,800.12,0.09
145,31,475,10,6,5637.70,0.00
146,31,443,5,3,4423.40,0.00
147,31,48,6,25,4961.82,0.00
148,31,245,7,45,5331.34,0.00
149,31,305,5,42,1567.90,0.00
150,31,190,3,36,1587.72,0.00
151,31,220,9,19,6885.63,0.00
152,31,285,7,31,2027.90,0.00
153,31,462,5,15,527.70,0.00
154,32,255,5,39,3596.95,0.20
155,32,230,3,18,1171.77,0.24
156,32,308,9,7,2843.82,0.21
157,32,168,3,50,248.55,0.20
158,32,377,10,25,4758.40,0.15
159,32,154,10,12,8138.70,0.18
160,33,40,3,30,751.59,0.00
161,33,425,2,50,843.18,0.00
162,34,369,10,47,4726.50,0.18
163,35,90,5,25,931.05,0.00
164,35,488,1,29,728.95,0.00
165,35,128,10,36,1161.20,0.00
166,35,99,5,17,3014.60,0.00
167,35,123,5,31,3098.40,0.00
168,35,441,8,35,7951.20,0.00
169,35,283,2,32,49.50,0.00
170,36,75,8,37,3649.76,0.05
171,36,490,9,15,8863.92,0.18
172,36,48,4,33,3307.88,0.24
173,37,480,7,20,2862.79,0.00
174,37,263,8,11,6603.84,0.00
175,38,258,6,8,3786.72,0.00
176,38,267,8,6,6893.68,0.00
177,38,341,10,1,9307.30,0.00
178,39,37,3,25,1180.77,0.00
179,39,170,1,34,939.79,0.00
180,39,227,2,13,758.08,0.00
181,40,327,10,45,3660.70,0.00
182,40,190,4,45,2116.96,0.00
183,40,46,8,1,2101.52,0.00
184,40,29,1,2,642.90,0.00
185,40,63,7,6,4368.98,0.00
186,40,131,9,43,6229.71,0.00
187,41,75,3,44,1368.66,0.00
188,41,106,2,28,734.24,0.00
189,41,470,5,1,1161.35,0.00
190,41,155,4,48,3183.92,0.00
191,41,294,3,46,1769.49,0.00
192,42,379,9,31,8780.94,0.00
193,42,413,6,12,5872.74,0.00
194,42,382,4,34,3829.64,0.00
195,43,74,6,6,318.36,0.00
196,43,172,4,6,2227.72,0.00
197,43,184,6,9,2384.16,0.00
198,44,272,1,5,101.48,0.17
199,45,117,4,16,3494.36,0.00
200,45,383,8,33,254.40,0.00
201,45,265,4,43,2876.64,0.00
202,46,454,8,49,2447.36,0.00
203,46,324,4,2,2780.44,0.00
204,46,445,3,50,416.46,0.00
205,46,443,10,35,8846.80,0.00
206,47,240,9,37,6961.23,0.25
207,48,178,4,25,1790.84,0.00
208,48,106,7,13,2569.84,0.00
209,48,181,10,8,2273.80,0.00
210,48,463,7,31,4482.17,0.00
211,48,109,7,31,11.20,0.00
212,48,244,2,20,1687.12,0.00
213,49,118,9,40,4263.75,0.00
214,49,457,9,15,3036.87,0.00
215,50,470,10,24,2322.70,0.14
216,50,202,10,32,9340.10,0.08
217,50,216,10,11,8391.20,0.08
218,50,35,9,17,2508.48,0.07
219,50,37,7,6,2755.13,0.16
220,50,332,3,31,1639.59,0.17
221,50,104,8,27,4604.64,0.06
222,51,197,2,30,1415.90,0.00
223,52,48,2,39,1653.94,0.00
224,52,372,5,34,4117.45,0.00
225,53,302,4,26,3530.12,0.00
226,53,313,7,35,3049.97,0.00
227,53,155,10,27,7959.80,0.00
228,53,137,10,1,6492.30,0.00
229,53,103,2,2,1403.98,0.00
230,53,52,9,18,1875.60,0.00
231,53,148,6,8,3988.86,0.00
232,53,470,3,38,696.81,0.00
233,54,352,2,4,1788.98,0.00
234,54,94,8,3,6692.80,0.00
235,54,302,4,28,3530.12,0.00
236,54,444,1,23,758.28,0.00
237,54,484,2,10,1085.12,0.00
238,54,258,4,13,2524.48,0.00
239,54,410,7,21,3372.11,0.00
240,54,185,5,50,3952.20,0.00
241,55,133,8,47,3045.20,0.09
242,55,223,6,42,3118.08,0.18
243,55,96,3,43,344.07,0.15
244,55,399,2,31,681.86,0.21
245,55,46,5,33,1313.45,0.06
246,56,422,7,13,6005.79,0.09
247,56,446,9,28,7326.54,0.25
248,56,437,9,3,1034.55,0.08
249,56,244,6,18,5061.36,0.23
250,56,320,5,41,4388.15,0.16
251,56,212,7,3,2903.88,0.15
252,56,224,4,48,2451.72,0.23
253,57,250,9,47,5021.64,0.24
254,57,45,4,42,2610.16,0.14
255,57,321,2,9,1017.74,0.11
256,57,19,9,13,5657.31,0.12
257,57,117,2,45,1747.18,0.06
258,57,34,9,49,181.98,0.20
259,58,303,7,25,5484.85,0.00
260,58,333,2,11,93.46,0.00
261,58,180,8,50,4237.92,0.00
262,58,39,9,12,2517.93,0.00
263,58,366,2,29,731.96,0.00
264,59,312,9,8,7480.89,0.00
265,59,401,4,43,2712.72,0.00
266,59,396,8,11,843.84,0.00
267,59,190,6,47,3175.44,0.00
268,59,31,2,11,1134.46,0.00
269,60,26,7,31,2861.18,0.00
270,60,182,2,22,140.36,0.00
271,60,485,6,8,3504.30,0.00
272,60,358,3,4,2063.82,0.00
273,60,358,5,41,3439.70,0.00
274,60,128,10,22,1161.20,0.00
275,60,167,7,13,6434.33,0.00
276,60,160,8,6,7038.80,0.00
277,61,368,9,36,4296.69,0.00
278,61,253,1,4,377.82,0.00
279,61,147,3,4,940.26,0.00
280,61,345,9,26,5423.49,0.00
281,61,458,7,5,1822.52,0.00
282,61,326,8,15,636.80,0.00
283,61,392,5,11,4033.35,0.00
284,61,429,5,19,3298.70,0.00
285,62,179,1,42,167.27,0.16
286,62,426,1,16,184.57,0.22
287,62,343,10,1,2348.80,0.11
288,62,103,5,47,3509.95,0.07
289,62,59,5,47,3157.00,0.06
290,62,114,4,4,1711.44,0.15
291,62,448,7,37,4123.14,0.25
292,63,106,9,23,3304.08,0.00
293,63,209,7,40,5111.82,0.00
294,63,101,8,45,4312.88,0.00
295,63,462,2,39,211.08,0.00
296,63,18,2,43,1590.34,0.00
297,64,51,10,5,7471.80,0.00
298,64,192,4,10,3560.60,0.00
299,64,239,1,18,577.88,0.00
300,64,72,10,7,4039.60,0.00
301,64,172,9,32,5012.37,0.00
302,64,457,8,40,2699.44,0.00
303,64,428,8,12,6938.64,0.00
304,64,247,4,19,988.72,0.00
305,64,9,8,2,7340.48,0.00
306,64,361,8,34,7404.64,0.00
307,65,438,2,32,861.78,0.00
308,65,223,9,30,4677.12,0.00
309,65,272,7,19,710.36,0.00
310,65,351,1,13,404.80,0.00
311,66,320,2,31,1755.26,0.06
312,66,277,7,37,6645.31,0.22
313,66,3,7,26,1516.13,0.11
314,66,333,4,7,186.92,0.12
315,66,326,5,28,398.00,0.21
316,66,189,3,25,2561.70,0.21
317,66,300,10,49,4983.30,0.11
318,66,357,4,41,699.48,0.24
319,67,155,9,40,7163.82,0.00
320,67,402,8,45,3341.92,0.00
321,67,305,7,18,2195.06,0.00
322,67,112,5,5,2681.05,0.00
323,67,260,6,26,5497.08,0.00
324,67,105,6,48,1155.84,0.00
325,68,33,3,10,451.68,0.00
326,68,321,10,47,5088.70,0.00
327,68,168,4,21,331.40,0.00
328,68,6,2,45,1473.02,0.00
329,68,333,4,24,186.92,0.00
330,68,438,3,8,1292.67,0.00
331,68,275,3,29,1844.22,0.00
332,69,393,10,31,787.80,0.00
333,69,278,10,26,1974.40,0.00
334,69,108,1,43,236.38,0.00
335,69,58,2,32,580.66,0.00
336,69,276,4,39,3891.80,0.00
337,69,496,2,30,1233.86,0.00
338,69,77,7,17,1177.33,0.00
339,69,153,8,4,1591.92,0.00
340,70,311,3,8,826.14,0.00
341,70,248,9,50,7108.11,0.00
342,70,131,2,47,1384.38,0.00
343,70,475,5,44,2818.85,0.00
344,70,106,9,11,3304.08,0.00
345,70,54,1,1,744.10,0.00
346,71,289,8,1,2426.88,0.00
347,71,187,9,43,5490.09,0.00
348,71,72,6,17,2423.76,0.00
349,71,167,9,3,8272.71,0.00
350,71,50,5,33,93.90,0.00
351,72,95,4,25,1772.80,0.00
352,72,54,10,48,7441.00,0.00
353,72,415,8,17,3375.44,0.00
354,73,366,9,9,3293.82,0.00
355,73,212,2,28,829.68,0.00
356,74,243,1,3,252.86,0.00
357,74,149,2,10,1252.44,0.00
358,74,405,3,34,938.97,0.00
359,74,177,6,24,3112.14,0.00
360,74,315,8,36,2435.60,0.00
361,75,230,5,2,1952.95,0.24
362,75,426,4,11,738.28,0.06
363,76,40,2,31,501.06,0.00
364,76,457,5,14,1687.15,0.00
365,76,301,5,39,2534.75,0.00
366,76,405,5,30,1564.95,0.00
367,76,66,2,26,344.80,0.00
368,76,227,7,15,2653.28,0.00
369,76,233,8,21,1161.28,0.00
370,76,145,3,6,2842.53,0.00
371,76,311,7,38,1927.66,0.00
372,77,431,2,6,556.02,0.00
373,77,141,5,49,1583.00,0.00
374,77,479,6,3,3377.46,0.00
375,77,204,4,31,3898.84,0.00
376,78,364,6,16,1551.24,0.00
377,78,252,9,18,6421.41,0.00
378,78,63,7,29,4368.98,0.00
379,78,53,1,6,487.15,0.00
380,78,201,3,40,1538.64,0.00
381,78,149,5,9,3131.10,0.00
382,78,360,4,41,1286.48,0.00
383,79,473,1,39,799.68,0.00
384,79,240,3,22,2320.41,0.00
385,79,29,6,39,3857.40,0.00
386,79,220,9,45,6885.63,0.00
387,79,165,7,26,5965.75,0.00
388,79,446,6,30,4884.36,0.00
389,79,284,10,15,2069.60,0.00
390,79,404,3,12,1984.65,0.00
391,80,347,3,37,1689.93,0.08
392,80,428,6,28,5203.98,0.11
393,80,407,6,50,5190.06,0.15
394,80,166,9,39,903.42,0.11
395,80,4,8,45,3314.08,0.16
396,80,221,4,50,2537.28,0.15
397,81,492,9,35,8234.01,0.20
398,81,342,5,10,2686.65,0.21
399,81,12,9,5,7829.82,0.14
400,81,290,8,6,7211.36,0.05
401,82,157,10,49,3828.20,0.00
402,82,186,6,43,5785.74,0.00
403,82,394,10,15,6131.90,0.00
404,82,394,2,28,1226.38,0.00
405,82,349,6,41,935.04,0.00
406,83,394,10,32,6131.90,0.00
407,83,259,3,39,2901.57,0.00
408,83,118,8,27,3790.00,0.00
409,83,61,10,44,9029.40,0.00
410,83,294,8,27,4718.64,0.00
411,83,404,8,49,5292.40,0.00
412,83,139,6,12,4646.52,0.00
413,83,118,4,46,1895.00,0.00
414,83,171,4,47,3189.40,0.00
415,84,484,1,47,542.56,0.00
416,85,91,1,34,787.66,0.00
417,85,172,6,12,3341.58,0.00
418,85,369,8,19,3781.20,0.00
419,85,337,6,26,5077.62,0.00
420,85,438,10,27,4308.90,0.00
421,85,458,8,2,2082.88,0.00
422,86,312,10,35,8312.10,0.00
423,86,466,6,47,2430.12,0.00
424,86,306,4,4,1619.60,0.00
425,86,373,7,50,4574.08,0.00
426,86,342,1,28,537.33,0.00
427,86,475,10,10,5637.70,0.00
428,86,130,1,3,665.06,0.00
429,86,91,10,41,7876.60,0.00
430,86,500,9,16,8073.90,0.00
431,86,232,7,49,70.35,0.00
432,87,171,1,45,797.35,0.00
433,87,391,7,30,224.70,0.00
434,87,385,3,18,907.62,0.00
435,88,382,9,48,8616.69,0.00
436,88,309,7,32,5625.27,0.00
437,88,481,8,37,1425.60,0.00
438,88,56,7,20,5959.10,0.00
439,88,232,3,2,30.15,0.00
440,88,62,5,49,4640.20,0.00
441,88,318,7,46,3390.52,0.00
442,89,188,3,8,2957.52,0.00
443,89,70,7,14,6867.14,0.00
444,89,286,5,40,1100.35,0.00
445,89,449,2,46,121.48,0.00
446,89,202,6,6,5604.06,0.00
447,89,275,8,32,4917.92,0.00
448,89,357,10,37,1748.70,0.00
449,90,393,7,36,551.46,0.00
450,90,406,6,45,4662.00,0.00
451,90,333,8,16,373.84,0.00
452,90,197,1,48,707.95,0.00
453,90,495,10,45,8256.20,0.00
454,90,198,4,19,3945.20,0.00
455,91,78,6,10,2403.84,0.00
456,91,274,5,26,2488.35,0.00
457,91,151,1,9,172.38,0.00
458,91,104,10,19,5755.80,0.00
459,91,230,4,10,1562.36,0.00
460,91,265,4,34,2876.64,0.00
461,91,494,10,12,5768.30,0.00
462,92,106,6,17,2202.72,0.14
463,93,92,1,2,0.37,0.00
464,93,12,5,18,4349.90,0.00
465,93,203,9,25,1785.87,0.00
466,94,214,7,5,3412.08,0.00
467,94,112,9,42,4825.89,0.00
468,94,218,4,43,2798.60,0.00
469,94,339,10,19,8988.90,0.00
470,94,470,2,41,464.54,0.00
471,95,204,8,41,7797.68,0.00
472,95,13,5,28,2640.15,0.00
473,95,430,10,26,4403.80,0.00
474,95,106,6,22,2202.72,0.00
475,95,357,6,11,1049.22,0.00
476,95,372,10,15,8234.90,0.00
477,95,99,1,3,602.92,0.00
478,96,266,6,21,2262.30,0.14
479,96,218,10,46,6996.50,0.22
480,96,405,7,34,2190.93,0.19
481,96,132,4,47,2241.20,0.07
482,97,470,6,48,1393.62,0.00
483,97,119,1,31,767.55,0.00
484,97,406,8,16,6216.00,0.00
485,98,185,9,47,7113.96,0.00
486,98,316,1,28,728.13,0.00
487,98,497,7,16,5294.94,0.00
488,98,183,9,25,5778.90,0.00
489,98,391,8,40,256.80,0.00
490,98,185,8,30,6323.52,0.00
491,98,79,7,7,5975.83,0.00
492,99,406,9,23,6993.00,0.19
493,99,211,3,46,2269.26,0.13
494,99,338,10,11,3344.80,0.06
495,99,218,2,44,1399.30,0.08
496,100,252,1,35,713.49,0.00
497,100,147,3,24,940.26,0.00
498,100,436,5,13,2270.60,0.00
499,100,74,4,50,212.24,0.00
500,100,81,10,22,4479.60,0.00
501,100,84,6,44,738.90,0.00
502,100,206,7,37,325.57,0.00
503,101,240,10,35,7734.70,0.00
504,101,373,7,49,4574.08,0.00
505,101,200,3,17,670.53,0.00
506,101,104,5,7,2877.90,0.00
507,101,322,8,9,1398.48,0.00
508,101,346,4,18,2123.16,0.00
509,101,89,8,50,5072.64,0.00
510,101,301,2,17,1013.90,0.00
511,101,251,7,1,518.63,0.00
512,102,488,8,17,5831.60,0.00
513,102,447,3,5,2929.20,0.00
514,102,413,8,28,7830.32,0.00
515,102,91,10,9,7876.60,0.00
516,102,338,8,46,2675.84,0.00
517,102,471,4,47,3388.76,0.00
518,102,245,9,49,6854.58,0.00
519,102,104,6,4,3453.48,0.00
520,102,334,10,36,2445.20,0.00
521,102,379,9,31,8780.94,0.00
522,103,320,2,47,1755.26,0.00
523,103,391,7,20,224.70,0.00
524,103,290,9,25,8112.78,0.00
525,103,106,10,38,3671.20,0.00
526,103,162,3,27,646.80,0.00
527,103,69,6,16,1433.34,0.00
528,103,207,8,26,2027.76,0.00
529,104,298,4,27,801.12,0.00
530,104,459,6,25,3577.32,0.00
531,104,89,7,33,4438.56,0.00
532,104,316,6,32,4368.78,0.00
533,104,221,1,44,634.32,0.00
534,105,129,1,32,676.41,0.00
535,105,216,4,34,3356.48,0.00
536,105,62,7,29,6496.28,0.00
537,105,404,8,20,5292.40,0.00
538,105,203,7,46,1389.01,0.00
539,106,293,8,4,5669.60,0.00
540,107,346,9,21,4777.11,0.00
541,107,49,7,15,6387.22,0.00
542,107,325,8,24,1979.92,0.00
543,107,365,9,27,2754.90,0.00
544,108,108,9,19,2127.42,0.24
545,108,58,3,47,870.99,0.05
546,108,138,10,27,8259.50,0.25
547,108,275,7,48,4303.18,0.24
548,109,486,8,34,822.24,0.00
549,109,347,10,18,5633.10,0.00
550,109,379,4,36,3902.64,0.00
551,109,491,3,26,23.40,0.00
552,109,255,3,50,2158.17,0.00
553,109,285,2,37,579.40,0.00
554,109,380,8,21,2801.20,0.00
555,109,76,3,31,2400.36,0.00
556,109,290,2,31,1802.84,0.00
557,110,95,9,42,3988.80,0.23
558,110,84,1,33,123.15,0.22
559,110,330,7,28,1576.61,0.14
560,110,321,2,27,1017.74,0.17
561,110,473,2,44,1599.36,0.23
562,110,422,7,44,6005.79,0.10
563,111,434,2,50,1130.66,0.00
564,112,206,1,38,46.51,0.00
565,112,496,8,36,4935.44,0.00
566,112,187,8,2,4880.08,0.00
567,113,469,2,40,1435.46,0.00
568,113,82,4,48,2797.36,0.00
569,113,384,1,7,722.48,0.00
570,113,282,8,32,4052.88,0.00
571,113,452,6,7,4809.42,0.00
572,114,319,3,15,1906.89,0.20
573,115,60,1,20,669.49,0.21
574,115,295,7,11,2633.47,0.21
575,115,67,5,1,1773.50,0.14
576,115,251,5,27,370.45,0.23
577,116,236,3,5,1478.52,0.00
578,116,103,2,43,1403.98,0.00
579,116,108,1,13,236.38,0.00
580,116,254,10,13,8929.00,0.00
581,116,128,6,20,696.72,0.00
582,116,385,6,24,1815.24,0.00
583,116,266,10,32,3770.50,0.00
584,116,350,7,12,1197.35,0.00
585,116,283,6,11,148.50,0.00
586,117,439,5,2,3064.25,0.20
587,117,298,7,5,1401.96,0.08
588,117,358,7,47,4815.58,0.06
589,117,432,9,45,2922.30,0.06
590,117,393,7,33,551.46,0.23
591,118,125,1,45,394.34,0.09
592,118,300,1,21,498.33,0.14
593,118,67,2,10,709.40,0.06
594,118,465,5,49,2087.30,0.15
595,118,407,7,18,6055.07,0.24
596,118,196,1,20,50.37,0.21
597,118,51,4,1,2988.72,0.19
598,118,293,10,31,7087.00,0.16
599,119,243,2,20,505.72,0.00
600,119,321,1,22,508.87,0.00
601,119,85,7,2,4370.17,0.00
602,119,499,9,47,1277.01,0.00
603,119,229,8,17,3340.40,0.00
604,119,177,7,37,3630.83,0.00
605,119,84,9,29,1108.35,0.00
606,120,465,6,34,2504.76,0.00
607,120,444,9,37,6824.52,0.00
608,120,102,3,4,2019.21,0.00
609,120,324,2,23,1390.22,0.00
610,120,56,9,35,7661.70,0.00
611,120,449,4,17,242.96,0.00
612,120,73,10,22,7612.50,0.00
613,120,2,5,20,299.70,0.00
614,120,11,8,8,1884.88,0.00
615,121,180,8,32,4237.92,0.00
616,121,69,6,40,1433.34,0.00
617,121,354,1,36,531.09,0.00
618,121,369,8,1,3781.20,0.00
619,121,117,5,26,4367.95,0.00
620,121,90,5,39,931.05,0.00
621,122,228,3,10,1087.08,0.00
622,122,174,5,38,2452.00,0.00
623,122,255,10,36,7193.90,0.00
624,122,309,9,16,7232.49,0.00
625,122,371,5,36,3330.25,0.00
626,122,459,6,27,3577.32,0.00
627,122,72,8,43,3231.68,0.00
628,122,61,3,44,2708.82,0.00
629,123,247,7,18,1730.26,0.00
630,123,95,5,45,2216.00,0.00
631,123,139,10,50,7744.20,0.00
632,123,86,5,36,307.30,0.00
633,123,93,7,39,5919.20,0.00
634,123,439,8,22,4902.80,0.00
635,124,57,5,37,667.55,0.00
636,124,114,7,24,2995.02,0.00
637,124,325,9,19,2227.41,0.00
638,124,473,8,1,6397.44,0.00
639,124,279,9,34,61.47,0.00
640,124,251,9,36,666.81,0.00
641,124,249,7,34,5204.99,0.00
642,124,467,2,25,933.48,0.00
643,125,131,7,6,4845.33,0.25
644,125,484,1,40,542.56,0.18
645,125,492,6,35,5489.34,0.06
646,126,379,10,44,9756.60,0.00
647,126,376,3,12,2341.50,0.00
648,126,21,9,39,6228.36,0.00
649,126,224,3,34,1838.79,0.00
650,126,163,3,20,343.71,0.00
651,126,252,4,18,2853.96,0.00
652,126,456,2,49,1072.58,0.00
653,127,268,2,18,673.02,0.00
654,127,410,9,38,4335.57,0.00
655,128,304,5,49,4350.85,0.00
656,128,94,2,17,1673.20,0.00
657,128,25,1,50,282.11,0.00
658,128,130,1,11,665.06,0.00
659,128,141,4,23,1266.40,0.00
660,128,160,10,32,8798.50,0.00
661,128,307,7,35,3667.58,0.00
662,128,364,1,34,258.54,0.00
663,129,24,2,22,1134.84,0.22
664,129,169,8,31,5129.04,0.13
665,129,51,4,32,2988.72,0.25
666,129,444,6,32,4549.68,0.07
667,129,121,8,12,6115.12,0.12
668,129,197,3,46,2123.85,0.20
669,129,375,8,16,1998.96,0.18
670,129,422,8,27,6863.76,0.09
671,129,403,3,26,2610.03,0.19
672,130,139,1,47,774.42,0.00
673,130,110,2,6,1716.10,0.00
674,130,299,8,25,2792.08,0.00
675,130,11,3,2,706.83,0.00
676,130,193,9,36,8294.67,0.00
677,130,20,5,27,4720.35,0.00
678,130,162,9,21,1940.40,0.00
679,130,28,1,35,42.09,0.00
680,131,241,6,40,4999.62,0.10
681,131,169,7,26,4487.91,0.07
682,131,87,4,4,2191.80,0.13
683,131,153,5,21,994.95,0.13
684,131,60,5,42,3347.45,0.10
685,131,90,4,50,744.84,0.13
686,132,467,1,24,466.74,0.00
687,132,338,10,46,3344.80,0.00
688,132,397,9,29,8435.70,0.00
689,132,240,10,21,7734.70,0.00
690,132,432,5,20,1623.50,0.00
691,133,72,9,22,3635.64,0.00
692,133,122,7,44,158.55,0.00
693,133,289,2,7,606.72,0.00
694,133,103,8,35,5615.92,0.00
695,133,458,3,31,781.08,0.00
696,134,348,3,17,1969.86,0.00
697,134,486,1,24,102.78,0.00
698,134,206,9,11,418.59,0.00
699,134,324,6,25,4170.66,0.00
700,134,163,6,26,687.42,0.00
701,134,52,3,12,625.20,0.00
702,135,310,6,46,5560.20,0.00
703,135,8,3,17,2067.63,0.00
704,135,299,8,21,2792.08,0.00
705,135,268,10,24,3365.10,0.00
706,135,21,8,50,5536.32,0.00
707,135,251,10,7,740.90,0.00
708,135,73,9,13,6851.25,0.00
709,135,323,10,23,7617.30,0.00
710,135,237,3,20,2869.68,0.00
711,135,241,10,6,8332.70,0.00
712,136,420,9,28,1312.65,0.00
713,136,451,5,45,1157.90,0.00
714,136,37,5,28,1967.95,0.00
715,136,401,3,38,2034.54,0.00
716,136,325,4,46,989.96,0.00
717,136,389,9,23,7773.57,0.00
718,136,90,9,39,1675.89,0.00
719,137,284,7,25,1448.72,0.13
720,137,493,7,37,5456.50,0.17
721,137,127,6,13,4500.24,0.25
722,137,434,1,26,565.33,0.07
723,137,368,3,16,1432.23,0.05
724,137,365,9,28,2754.90,0.22
725,138,302,1,45,882.53,0.00
726,139,338,8,37,2675.84,0.00
727,139,19,9,38,5657.31,0.00
728,139,420,9,23,1312.65,0.00
729,139,417,9,9,3291.39,0.00
730,139,203,9,24,1785.87,0.00
731,139,331,8,41,2680.16,0.00
732,139,431,6,29,1668.06,0.00
733,140,288,2,9,1970.68,0.00
734,140,369,3,25,1417.95,0.00
735,140,271,2,12,664.14,0.00
736,140,266,4,25,1508.20,0.00
737,140,37,9,50,3542.31,0.00
738,141,273,2,41,1921.16,0.00
739,141,30,1,31,906.13,0.00
740,141,442,9,44,3858.30,0.00
741,141,240,2,50,1546.94,0.00
742,141,354,8,12,4248.72,0.00
